REG_SNL_INSTN_KEY,year,CompanyName,CompanyType,PrimaryRegulator,YearEstablished,ParentName,ParentInstitutionKey,CountyandState,ZipCode,State,Initial_Scale,status,lobby_status,severe,capital_adequacy,asset_quality,management_quality,earning,liquidity,sensitivity_to_market_risk,deposit_to_asset_ratio,leverage,total_core_deposit,size,age,growth,distance,initial_market_size
1008159,2010,New Tripoli Bank,Commercial Bank,FED,1910,"New Tripoli Bancorp, Inc.",1020297,"Lehigh, PA",18066,PA,146991,1,0,0,17.042202,-1.25,0,0.034860004,4.0226922,19.587017,77.0569,11.17,221923,304475,100,5.736560951,222.2507675100434,5.46824E-05
1008163,2010,First Bank of Newton,Commercial Bank,FDIC,1873,INTRUST Financial Corporation,101240,"Harvey, KS",67114,KS,73459,1,0,0,10.810839,-1.26,0,0.04069455,5.1844087,0.19579454,92.376488,7.2800002,126866,141444,137,1.175504939,1767.887086350072,0.000150893
1008166,2010,Oakdale State Bank,Commercial Bank,FDIC,1920,,NA,"Washington, IL",62268,IL,11253,1,0,0,11.130231,-1.03,0,0.036148686,4.2698174,10.134127,90.917358,8.0600004,15396,17594,90,18.50075719,1086.306325423013,3.2099399e-06
1008170,2010,Adams State Bank,Commercial Bank,FDIC,1918,,NA,"Gage, NE",68301,NE,21413,1,0,0,27.893026,-0.95999998,0,0.037721936,6.7211304,5.6882629,76.566513,19.719999,26877,36610,92,-0.140517616,1673.24962,4.59729E-05
1008175,2010,State Bank of Cochran,Commercial Bank,FDIC,1922,Central Georgia Banking Company,4087708,"Bleckley, GA",31014,GA,99509,1,0,0,15.714443,-3.5599999,0,0.037790567,17.525763,7.2332997,86.852272,10.38,191003,224130,88,2.819941266,923.7877963085057,4.23239E-05
1008177,2010,The First National Bank of Battle Lake,Commercial Bank,OCC,1903,"Henning Bancshares, Inc.",1019383,"Otter Tail, MN",56515,MN,20986,1,0,0,16.815634,-1.25,0,0.032370895,2.2966614,7.3066077,88.361656,10.53,50405,60610,107,5.462032215,1729.517908359996,1.16872E-05
1008180,2010,Union Bank,Commercial Bank,FDIC,1891,"Union Bankshares, Inc.",1019034,"Lamoille, VT",05661,VT,190825,1,0,0,13.904189,-0.98000002,0,0.041606635,7.5180483,6.9376311,83.309906,9.71,336797,453245,119,-0.458515284,726.6683078489468,0.004657864
1008185,2010,The Bank,Commercial Bank,FDIC,1963,"Decatur Investment, Inc.",1020276,"Decatur, KS",67749,KS,99307,1,0,0,14.854714,-1.17,0,0.04211567,13.312759,15.979446,88.390511,8.6999998,153709,185133,47,7.296217368,2017.805374472347,0.000203988
1008187,2010,Grandview Bank,Commercial Bank,FDIC,1890,"D2 Alliances, LLC",6745676,"Johnson, TX",76050,TX,22587,1,0,0,11.330093,-1.16,0,0.042965151,4.3541813,0.93017828,90.164391,9.0600004,87941,100919,120,3.574067233,1961.096449475502,7.2838338e-06
1008188,2010,The First National Bank of Okawville,Commercial Bank,OCC,1920,,NA,"Washington, IL",62271,IL,31670,1,0,0,19.24909,-0.66000003,0,0.028465711,10.196784,3.6312346,88.145813,12.04,44729,51079,90,18.50075719,1087.394823141126,9.0339281e-06
1008192,2010,Blaine State Bank,Commercial Bank,FDIC,1972,Hopkins Financial Corporation,1019418,"Anoka, MN",55434,MN,17204,1,0,0,10.855418,-1.45,0,0.04223815,12.101851,21.955364,78.412163,7.9400001,28719,40319,38,2.698908783,1506.037659082368,9.5809501e-06
1008193,2010,First Community Bank,Commercial Bank,FDIC,1979,First San Benito Bancshares Corporation,1018843,"Cameron, TX",78586,TX,47475,1,0,1,12.654465,-1.85,0,0.038912144,6.1558161,13.852751,90.742065,9.1899996,169964,197085,31,5.208751058,2389.004908435188,1.53097E-05
1008196,2010,Titonka Savings Bank,Commercial Bank,FED,1916,Northwood Financial Services Corporation,1021245,"Kossuth, IA",50480,IA,57429,1,0,0,17.301067,-2.02,0,0.032340966,2.138922,20.128237,88.946228,9.5699997,118842,145914,94,5.202801509,1502.282593102163,0.000109814
1008197,2010,Farmers and Merchants State Bank of Blooming Prairie,Commercial Bank,FDIC,1904,MBT Corp.,1024519,"Steele, MN",55917,MN,37566,1,0,0,10.427402,-1.2,0,0.045438293,9.5866385,12.597821,88.887138,7.9400001,36055,69919,106,2.882968868,1443.133485,2.09206E-05
1008202,2010,Partners Bank,Commercial Bank,FDIC,1940,"Helena Bancshares, Inc.",1019672,"Phillips, AR",72342,AR,112895,1,0,0,23.175278,-1.66,0,0.034295585,17.048002,8.0593815,86.705704,13.42,123870,170780,70,1.388034451,1303.511659197888,0.000320957
1008203,2010,Two Rivers Bank,Commercial Bank,FDIC,1890,"First State Fremont, Inc.",1021870,"Washington, NE",68008,NE,55510,1,0,0,13.344708,-2.02,0,0.029783236,2.6190689,9.9524612,67.894562,9.5600004,72831,131987,120,1.492817576,1645.017468549739,0.000119178
1008205,2010,State Bank of Oskaloosa,Commercial Bank,FDIC,1887,"Everest Bancshares, Inc.",1017233,"Jefferson, KS",66066,KS,25361,1,0,0,27.719378,-0.99000001,0,0.019395856,45.773045,39.684727,92.115791,7.98,28199,30986,123,2.385843409,1576.853556447923,5.20945E-05
1008210,2010,United Citizens Bank & Trust Company,Commercial Bank,FDIC,1872,United Citizens Financial Corporation,1020230,"Henry, KY",40011,KY,73713,1,0,0,19.83742,-1.15,0,0.03418602,16.010536,9.4702034,73.841805,12.68,61058,84830,138,3.670830961,710.7947485968305,0.00016942
1008214,2010,Sanger Bank,Commercial Bank,FED,1987,"Sanger Bancshares, Inc.",1032797,"Denton, TX",76266,TX,45840,1,0,0,18.667227,-1.22,0,0.042490419,16.959465,12.034196,88.64286,11.56,85209,98634,23,2.188051546,1907.057888062302,1.47824E-05
1008218,2010,Ashton State Bank,Commercial Bank,FDIC,1908,First York Ban Corp.,1016910,"Sherman, NE",68817,NE,6072,1,0,0,14.809424,-1.77,0,0.027991096,42.720718,1.6946602,90.322762,9.04,15231,17970,102,-2.265074992,1865.362008083469,1.30364E-05
100822,2010,North Valley Bancorp,Bank Holding Company,FED,1981,TriCo Bancshares,100546,"Shasta, CA",96001,CA,296362,1,0,1,15.939548,-2.9200001,0,0.033847734,2.0016184,8.8491297,85.225914,11.48,656118,884461,29,4.221053904,3845.519984917648,6.16393E-05
1008222,2010,American Savings Bank,Commercial Bank,FDIC,1899,"Readlyn Bancshares, Inc.",1020389,"Bremer, IA",50676,IA,35050,1,0,0,23.211416,-1.3099999,0,0.030740315,1.3453642,5.1801796,77.301872,14.82,35208,47885,111,4.746714652,1349.677786040545,6.70218E-05
1008224,2010,Heritage Bank of Schaumburg,Commercial Bank,FDIC,1974,"Schaumburg Bancshares, Inc.",1021228,"Cook, IL",60194,IL,79061,1,0,0,11.322574,-0.83999997,0,0.035384361,26.837505,10.478511,85.204414,8.2299995,98889,120590,36,1.440822537,996.9095355230609,2.25523E-05
1008236,2010,TrustBank,Commercial Bank,FDIC,1912,"Rich Land Bancorp, Inc.",1018507,"Richland, IL",62450,IL,98020,1,0,0,14.414092,-1.96,0,0.030865526,5.4173026,5.5374584,84.200172,9.6300001,139026,167274,98,6.347897774,957.7953318,2.79604E-05
1008237,2010,First National Bank of the Rockies,Commercial Bank,OCC,1904,"Glacier Bancorp, Inc.",1023792,"Mesa, CO",81505,CO,100138,1,0,1,15.080283,-5.02,-1,0.038789369,4.6712146,8.7501068,91.042381,9.1499996,302705,332488,106,-1.367069703,2706.066024575398,0.000321215
100824,2010,Bar Harbor Bankshares,Bank Holding Company,FED,1887,,NA,"Hancock, ME",04609,ME,392048,1,0,0,13.566967,-1.21,0,0.028363954,1.8090489,30.605646,63.360504,9.0100002,482334,1117933,123,4.143523951,950.7954189854042,0.007442326
1008240,2010,Cambridge State Bank,Commercial Bank,FDIC,1914,,NA,"Isanti, MN",55008,MN,70962,1,0,1,13.252175,-2.2,0,0.040165875,2.0041964,16.413269,82.584435,9.5100002,56974,83678,96,4.148599194,1520.942433181836,3.95189E-05
1008241,2010,1st Community Bank,Commercial Bank,FDIC,1910,Illinois Holding Co.,1021200,"Mercer, IL",61281,IL,29902,1,0,0,12.121065,-0.94,0,0.030772561,5.2996821,23.216759,90.194626,8.8000002,44334,55439,100,4.230812769,1175.702880175929,8.5296024e-06
1008242,2010,Gruver State Bank,Commercial Bank,FDIC,1946,"Circle I Bank Group, Inc.",4341219,"Hansford, TX",79040,TX,30672,1,0,0,21.478312,-1.1900001,0,0.030095076,9.2179947,9.4827662,83.757538,13.05,41927,54062,64,17.25677031,2162.982598342013,9.8910768e-06
1008245,2010,First Security Bank - Canby,Commercial Bank,FDIC,1890,"First Sleepy Eye Bancorporation, Inc.",1019268,"Yellow Medicine, MN",56220,MN,75160,1,0,0,16.180101,-2.1500001,0,0.036958136,29.173376,22.777336,82.195541,10.69,25465,30981,120,5.298804781,1714.840821694808,4.18568E-05
1008247,2010,First Community Bank,Commercial Bank,FDIC,1983,"Coastal Bend Bancshares, Inc.",1974156,"Nueces, TX",78401,TX,73971,1,0,0,11.136984,-1.27,0,0.044943325,4.5367246,5.7648239,84.040413,8.0699997,207186,271987,27,6.624415704,2251.272830604359,2.38541E-05
1008250,2010,Needham Bank,Commercial Bank,FED,1892,NB Financial MHC,19514973,"Norfolk, MA",02492,MA,337798,1,0,0,23.770758,-2.3699999,0,0.035058696,1.212275,23.350107,70.363594,16.059999,728001,1160026,118,3.953525386,615.0474290180731,0.000167101
1008251,2010,"BOKF, National Association",Commercial Bank,OCC,1910,BOK Financial Corporation,100003,"Tulsa, OK",74172,OK,5853188,1,0,0,8.9674606,-2.6900001,-1,0.028303338,10.80429,31.91979,57.716965,5.8000002,8210898,17415154,100,3.898070718,1691.501740200487,0.009950929
1008254,2010,Valley View State Bank,Commercial Bank,FDIC,1966,"Valley View Bancshares, Inc.",1016913,"Johnson, KS",66212,KS,499403,1,0,0,18.550688,-2.6099999,0,0.02713524,10.078772,9.8567419,82.195724,12.59,659414,826453,44,-2.422430308,1525.093756648922,0.001025832
1008256,2010,Bank of Tennessee,Commercial Bank,FDIC,1974,BancTenn Corp.,1020071,"Sullivan, TN",37660,TN,253209,1,0,0,11.023796,-1.63,0,0.035685625,5.8515258,0.21096011,82.382614,8.1700001,465208,633028,36,2.129243597,554.1451319,0.00029424
1008257,2010,Peoples State Bank,Commercial Bank,FDIC,1962,"PSB Holdings, Inc.",1024699,"Marathon, WI",54401,WI,233199,1,0,0,12.643849,-1.8099999,0,0.03318138,7.0352049,12.89659,75.254349,9.3699999,369527,620800,48,0.43182062,1239.703362494412,0.000215541
1008259,2010,21st Century Bank,Commercial Bank,FDIC,1917,Crosstown Holding Company,1019448,"Hennepin, MN",55357,MN,77310,1,0,0,14.948841,-1.35,0,0.040489618,1.212275,20.719418,80.426292,12.47,128976,362241,93,3.810140073,1534.710579044622,4.30541E-05
1008262,2010,First National Bank in Pinckneyville,Commercial Bank,OCC,1901,"First Perry Bancorp, Inc.",1018601,"Perry, IL",62274,IL,69009,1,0,0,28.717962,-0.66000003,0,0.039844777,7.0427971,1.6374334,81.790321,13.28,60829,76020,109,8.433150491,1078.954418533641,1.96849E-05
1008264,2010,First National Bank of Ordway,Commercial Bank,OCC,1907,"First Bankshares of Las Animas, Inc.",1017575,"Crowley, CO",81063,CO,30016,1,0,1,14.736672,-3.9400001,0,0.038097136,17.180939,3.0930138,84.869614,9.8199997,25072,45174,103,-2.195224635,2316.936950362581,9.6283E-05
1008265,2010,Citizens State Bank,Commercial Bank,FDIC,1986,"Carroll County Bancshares, Inc.",1021162,"Webster, IA",50501,IA,48146,1,0,0,13.497576,-1.62,0,0.038550261,1.7099032,8.012536,80.353592,10.45,92230,118780,24,0.957190675,1496.792191025241,9.20637E-05
1008267,2010,CIBM Bank,Commercial Bank,FDIC,1959,"CIB Marine Bancshares, Inc.",1020404,"Champaign, IL",61821,IL,599829,1,0,1,12.089399,-3.5,0,0.035381872,5.4768767,16.04929,85.846733,10.04,489188,579958,51,3.046624232,972.7756494186908,0.000171102
